"Algorithm","Result","Group","Replication"
"Alg1",5808094.29904482,"110",1
"Alg2",8831196.53423204,"110",1
"Alg1",4986991.92340476,"111",1
"Alg2",7927431.05779069,"111",1
"Alg1",4716747.72139124,"112",1
"Alg2",8087971.03614812,"112",1
"Alg1",3758064.52691061,"113",1
"Alg2",8281829.95139948,"113",1
"Alg1",6813505.32779605,"114",1
"Alg2",8644461.05650648,"114",1
"Alg1",6000521.61584717,"115",1
"Alg2",8646447.88344523,"115",1
"Alg1",5470240.40149607,"116",1
"Alg2",8889251.42977155,"116",1
"Alg1",5276892.59776772,"117",1
"Alg2",8148488.08518201,"117",1
"Alg1",6351475.92759491,"118",1
"Alg2",8018365.75246547,"118",1
"Alg1",5050988.154078,"119",1
"Alg2",9297528.05585218,"119",1
"Alg1",5976740.91316147,"120",1
"Alg2",8814564.61730791,"120",1
"Alg1",6337628.24504092,"121",1
"Alg2",8892721.63261973,"121",1
"Alg1",7482766.05185136,"122",1
"Alg2",8639494.67797959,"122",1
"Alg1",5892242.87809893,"123",1
"Alg2",9156915.43033206,"123",1
"Alg1",6428716.16538048,"124",1
"Alg2",9850087.78630874,"124",1
"Alg1",7320109.04763675,"125",1
"Alg2",9357272.21795966,"125",1
"Alg1",7311959.02182297,"126",1
"Alg2",8471998.41185128,"126",1
"Alg1",7406957.49742631,"127",1
"Alg2",9372340.04405554,"127",1
"Alg1",7986259.38088159,"128",1
"Alg2",9125755.58104602,"128",1
"Alg1",7615829.86967345,"129",1
"Alg2",10313276.8563367,"129",1
"Alg1",7207138.95331594,"130",1
"Alg2",9507364.03882879,"130",1
"Alg1",7090595.13669765,"131",1
"Alg2",10236609.7731844,"131",1
"Alg1",8158535.13292699,"132",1
"Alg2",9775254.26399465,"132",1
"Alg1",5556447.64577769,"133",1
"Alg2",10114243.6529588,"133",1
"Alg1",6908272.08846419,"134",1
"Alg2",10591340.9912645,"134",1
"Alg1",7977955.6921755,"135",1
"Alg2",10056860.7005416,"135",1
"Alg1",7477403.11980789,"136",1
"Alg2",9776746.46571634,"136",1
"Alg1",8900193.38596503,"137",1
"Alg2",10444714.2803713,"137",1
"Alg1",7183216.03565055,"138",1
"Alg2",9841253.38813919,"138",1
"Alg1",8520990.21315726,"139",1
"Alg2",10543084.6304079,"139",1
"Alg1",9847811.06520312,"140",1
"Alg2",9166627.53164273,"140",1
"Alg1",6310015.00316518,"141",1
"Alg2",11516673.2728743,"141",1
"Alg1",7934935.67673645,"142",1
"Alg2",10124423.9689874,"142",1
"Alg1",7766382.18211472,"143",1
"Alg2",10765414.8750636,"143",1
"Alg1",8802056.19968641,"144",1
"Alg2",11526207.5627449,"144",1
"Alg1",9283623.71633443,"145",1
"Alg2",11477219.7131275,"145",1
"Alg1",8784248.33900555,"146",1
"Alg2",10265438.333214,"146",1
"Alg1",7088457.6358854,"147",1
"Alg2",11260396.8612622,"147",1
"Alg1",8330872.60093307,"148",1
"Alg2",10655660.9333986,"148",1
"Alg1",8217030.5982487,"149",1
"Alg2",12337936.8730201,"149",1
"Alg1",9346977.61171927,"150",1
"Alg2",11930626.4691548,"150",1
"Alg1",10018026.0183539,"151",1
"Alg2",10858820.8187218,"151",1
"Alg1",8155036.60874959,"152",1
"Alg2",12379263.3620038,"152",1
"Alg1",10107177.4575739,"153",1
"Alg2",12570428.3268514,"153",1
"Alg1",9605503.90519832,"154",1
"Alg2",11862234.2630581,"154",1
"Alg1",9195297.68549024,"155",1
"Alg2",11364841.4722061,"155",1
"Alg1",9481671.95110176,"156",1
"Alg2",12650462.9238467,"156",1
"Alg1",10763624.5590485,"157",1
"Alg2",13619906.0638614,"157",1
"Alg1",8473832.49691052,"158",1
"Alg2",11457848.9357418,"158",1
"Alg1",10342520.2082477,"159",1
"Alg2",12181336.2244827,"159",1
"Alg1",9471166.13506253,"160",1
"Alg2",12126674.555751,"160",1
"Alg1",10246782.2058876,"161",1
"Alg2",12210605.7352975,"161",1
"Alg1",11243275.1947643,"162",1
"Alg2",12236164.8911297,"162",1
"Alg1",11706476.6368005,"163",1
"Alg2",12821971.7119617,"163",1
"Alg1",9981460.12319471,"164",1
"Alg2",13459469.99268,"164",1
"Alg1",10417515.0323873,"165",1
"Alg2",13129187.2112506,"165",1
"Alg1",8955774.96050046,"166",1
"Alg2",13825537.5599094,"166",1
"Alg1",10536101.0053364,"167",1
"Alg2",11760655.0562848,"167",1
"Alg1",11679789.2215437,"168",1
"Alg2",12750528.2456776,"168",1
"Alg1",11279399.9764181,"169",1
"Alg2",12115115.0526898,"169",1
"Alg1",10524708.3634177,"170",1
"Alg2",12632502.2645811,"170",1
"Alg1",11889759.6766863,"171",1
"Alg2",13585477.6454107,"171",1
"Alg1",11047410.0952792,"172",1
"Alg2",14387907.0383836,"172",1
"Alg1",10055992.9681351,"173",1
"Alg2",13548202.7206295,"173",1
"Alg1",11884717.8263585,"174",1
"Alg2",13439237.8435778,"174",1
"Alg1",11597415.4228247,"175",1
"Alg2",15354467.3967741,"175",1
"Alg1",10962498.6222675,"176",1
"Alg2",13592384.0969044,"176",1
"Alg1",12816609.2096959,"177",1
"Alg2",14403074.7633954,"177",1
"Alg1",12706372.4398796,"178",1
"Alg2",14332881.5190944,"178",1
"Alg1",11808307.3063907,"179",1
"Alg2",15488348.2369572,"179",1
"Alg1",13585486.5098567,"180",1
"Alg2",14709319.3327485,"180",1
"Alg1",12258805.4222142,"181",1
"Alg2",14907980.5987616,"181",1
"Alg1",12381568.416105,"182",1
"Alg2",14005058.6327012,"182",1
"Alg1",14050124.3120468,"183",1
"Alg2",14252427.0939677,"183",1
"Alg1",9448355.46264434,"184",1
"Alg2",15210340.0816559,"184",1
"Alg1",13080480.7646866,"185",1
"Alg2",15733343.0858234,"185",1
"Alg1",13963766.7849844,"186",1
"Alg2",15967410.8561697,"186",1
"Alg1",12492453.4846323,"187",1
"Alg2",15298396.2711991,"187",1
"Alg1",12862675.9194107,"188",1
"Alg2",15228662.1835664,"188",1
"Alg1",13228798.1219683,"189",1
"Alg2",16867744.9432859,"189",1
"Alg1",11649467.2722329,"190",1
"Alg2",15515807.0892382,"190",1
"Alg1",13057758.5787086,"191",1
"Alg2",15791453.6709861,"191",1
"Alg1",13705377.269976,"192",1
"Alg2",15747197.529353,"192",1
"Alg1",13681130.7912589,"193",1
"Alg2",15710565.6300434,"193",1
"Alg1",13746380.0227344,"194",1
"Alg2",15566765.0744768,"194",1
