"Block,""Instancia"",""Rep"",""Algorithm"",""Y"""
"9,39,13,""Alg2"",1214860.7155952"
"9,13,14,""Alg1"",743.088284664241"
"9,13,14,""Alg2"",54748.4389704312"
"9,28,15,""Alg1"",86244.3208722702"
"9,28,15,""Alg2"",583731.225540215"
"9,28,16,""Alg1"",97712.5707417047"
"9,28,16,""Alg2"",548389.639921802"
"9,39,17,""Alg1"",295340.949891588"
"9,39,17,""Alg2"",1257951.15813237"
"9,28,18,""Alg1"",119522.100511165"
"9,28,18,""Alg2"",611149.54848267"
"9,28,19,""Alg1"",55187.6042504805"
"9,28,19,""Alg2"",609191.866272429"
"9,13,20,""Alg1"",926.607248514708"
"9,13,20,""Alg2"",64292.5046298202"
"9,13,21,""Alg1"",487.766753442671"
"9,13,21,""Alg2"",41639.9265957944"
"9,39,22,""Alg1"",313605.63020171"
"9,39,22,""Alg2"",1143734.14655056"
"9,28,23,""Alg1"",83436.8086022974"
"9,28,23,""Alg2"",597303.30198594"
"9,39,24,""Alg1"",416597.358144692"
"9,39,24,""Alg2"",1158243.45785543"
"9,13,25,""Alg1"",585.572564536017"
"9,13,25,""Alg2"",73489.7265317939"
"9,28,26,""Alg1"",59009.4427074232"
"9,28,26,""Alg2"",594624.438522608"
"9,39,27,""Alg1"",351780.698234498"
"9,39,27,""Alg2"",1275905.51333471"
"9,13,28,""Alg1"",1319.96101545982"
"9,13,28,""Alg2"",69389.4138982368"
"9,13,29,""Alg1"",1341.04027503089"
"9,13,29,""Alg2"",9420.70372432346"
"9,39,30,""Alg1"",281579.339675064"
"9,39,30,""Alg2"",1191903.99123445"
"10,69,1,""Alg1"",2044396.819949"
"10,69,1,""Alg2"",4506244.21399585"
"10,69,2,""Alg1"",1956026.00398085"
"10,69,2,""Alg2"",3147564.66389774"
"10,113,3,""Alg1"",5236837.12405227"
"10,113,3,""Alg2"",7975646.56731874"
"10,55,4,""Alg1"",888416.632990945"
"10,55,4,""Alg2"",2035648.07796547"
"10,55,5,""Alg1"",751925.274710065"
"10,55,5,""Alg2"",1659489.14119241"
"10,113,6,""Alg1"",5361357.82065223"
"10,113,6,""Alg2"",6906356.31536847"
"10,69,7,""Alg1"",1376912.21153989"
"10,69,7,""Alg2"",4103424.23425181"
"10,113,8,""Alg1"",5810615.65237124"
"10,113,8,""Alg2"",8545114.73688627"
"10,69,9,""Alg1"",2296052.16630189"
"10,69,9,""Alg2"",5261025.71264681"
"10,113,10,""Alg1"",5748372.13685718"
"10,113,10,""Alg2"",8371598.32334698"
"10,69,11,""Alg1"",1583819.66246133"
"10,69,11,""Alg2"",3483531.44187132"
"10,55,12,""Alg1"",880304.563399335"
"10,55,12,""Alg2"",1631804.78337292"
"10,69,13,""Alg1"",1929822.3764535"
"10,69,13,""Alg2"",4616055.86797073"
"10,55,14,""Alg1"",717551.483437377"
"10,55,14,""Alg2"",2035399.76975212"
"10,113,15,""Alg1"",6437352.35722786"
"10,113,15,""Alg2"",8473316.11336201"
"10,55,16,""Alg1"",1305591.94446703"
"10,55,16,""Alg2"",2320872.80399178"
"10,55,17,""Alg1"",1174922.07473926"
"10,55,17,""Alg2"",2072324.22989316"
"10,69,18,""Alg1"",1490851.31208912"
"10,69,18,""Alg2"",3794137.03714757"
"10,113,19,""Alg1"",6145480.5838971"
"10,113,19,""Alg2"",8571639.80531796"
"10,55,20,""Alg1"",974944.791009004"
"10,55,20,""Alg2"",2244224.38887973"
"10,113,21,""Alg1"",5151982.57703933"
"10,113,21,""Alg2"",8476315.47779019"
"10,113,22,""Alg1"",5225728.73107819"
"10,113,22,""Alg2"",8297327.9377843"
"10,113,23,""Alg1"",5859407.31276317"
"10,113,23,""Alg2"",8131550.56388728"
"10,55,24,""Alg1"",827915.173907777"
"10,55,24,""Alg2"",2050864.90614965"
"10,55,25,""Alg1"",986550.753688383"
"10,55,25,""Alg2"",2211904.15687679"
"10,69,26,""Alg1"",2035733.34229355"
"10,69,26,""Alg2"",2720527.73881797"
"10,55,27,""Alg1"",887315.396090811"
"10,55,27,""Alg2"",2730567.63645805"
"10,69,28,""Alg1"",2064817.7964814"
"10,69,28,""Alg2"",3872188.17114479"
"10,113,29,""Alg1"",5601505.31098791"
"10,113,29,""Alg2"",8004466.62814331"
"10,55,30,""Alg1"",989918.978174996"
"10,55,30,""Alg2"",3001466.51619081"
"11,7,1,""Alg1"",18.5635832957003"
"11,7,1,""Alg2"",413.215841936848"
"11,84,2,""Alg1"",3816064.7184756"
"11,84,2,""Alg2"",5074975.43804886"
"11,84,3,""Alg1"",3544906.05575443"
"11,84,3,""Alg2"",6174308.42499349"
"11,7,4,""Alg1"",18.5712875650055"
"11,7,4,""Alg2"",414.388445869866"
"11,7,5,""Alg1"",16.0560328661138"
"11,7,5,""Alg2"",503.599146346276"
"11,56,6,""Alg1"",1355854.63694756"
