DIM_key,DIM,BAL_key,BAL,LIN_key,LIN,NOISE_key,NOISE,NUM_SAMPLES,SEED_run,Run,AUC_LR,AUC_SVM,AUC_RF,AUC_XGB
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,145,23,0.7867508529755328,0.8039868319111296,0.7940054478819359,0.7898512599508558
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,146,24,0.8477368853732863,0.8507736989730226,0.8585860214629942,0.8592443994483346
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,147,25,0.7935254338133002,0.8239583501317975,0.8211719181105839,0.825669289479394
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,148,26,0.8583331249531145,0.8589532644845089,0.8492785876822285,0.8501312795378961
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,149,27,0.8423464723281748,0.8465269263744795,0.8368884891564233,0.8330705447354155
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,150,28,0.8598872051801294,0.8548570203005076,0.868034826683167,0.8643497738693467
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,151,29,0.8132029811718138,0.8355595413008331,0.8306811461821834,0.8429436739778101
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,152,30,0.8575702459095901,0.8561903904876246,0.8573327887413532,0.8545846335277423
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,123,1,0.9853500000000001,0.9847850000000001,0.998335,0.997225
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,124,2,0.9972949999999999,0.9975499999999998,0.9975125,0.9982900000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,125,3,0.978245,0.9831800000000002,0.9905050000000001,0.99108
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,126,4,0.999265,0.999795,0.9991424999999999,0.9993550000000001
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,127,5,0.989655,0.9885400000000001,0.9961800000000001,0.99574
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,128,6,0.995815,0.995595,0.9970600000000001,0.9961649999999999
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,129,7,0.989405,0.9891500000000001,0.993905,0.99369
